,Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
10,35,False,2.0,809,16,3,1,14,1,1,84,4,1,2,Married,2426,16479,0,True,False,13,3,3,80,1,6,5,3,5,4,0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29,False,2.0,153,15,2,1,15,4,0,49,2,2,3,Single,4193,12682,0,True,True,12,3,4,80,0,10,3,3,9,5,0,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,31,False,2.0,670,26,1,1,16,1,1,31,3,1,3,Divorced,2911,15170,1,True,False,17,3,4,80,1,5,1,2,5,2,4,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,34,False,2.0,1346,19,2,1,18,2,1,93,3,1,4,Divorced,2661,8758,0,True,False,11,3,3,80,1,3,2,3,2,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,28,True,2.0,103,24,3,1,19,3,1,50,2,1,3,Single,2028,12947,5,True,True,14,3,2,80,0,6,4,3,4,2,0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,29,False,2.0,1389,21,4,1,20,2,0,51,4,3,1,Divorced,9980,10195,1,True,False,11,3,3,80,1,10,1,3,10,9,8,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,32,False,2.0,334,5,2,1,21,1,1,80,4,1,2,Divorced,3298,15053,0,True,True,12,3,4,80,2,7,5,2,6,2,0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,22,False,0.0,1123,16,2,1,22,4,1,96,4,1,4,Divorced,2935,7324,1,True,True,13,3,2,80,2,1,2,2,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,53,False,2.0,1219,2,4,1,23,1,0,78,2,4,4,Married,15427,22021,2,True,False,16,3,3,80,0,31,3,3,25,8,3,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,38,False,2.0,371,2,3,1,24,4,1,45,3,1,4,Single,3944,4306,5,True,True,11,3,3,80,0,6,3,3,3,2,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,24,False,0.0,673,11,2,1,26,1,0,96,4,2,3,Divorced,4011,8232,0,True,False,18,3,4,80,1,5,5,2,4,2,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,36,True,2.0,1218,9,4,1,27,3,1,82,2,1,1,Single,3407,6986,7,True,False,23,4,2,80,0,10,4,3,5,3,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,34,False,2.0,419,7,4,1,28,1,0,53,3,3,2,Single,11994,21293,0,True,False,11,3,3,80,0,13,4,3,12,6,2,11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,21,False,2.0,391,15,2,1,30,3,1,96,3,1,4,Single,1232,19281,1,True,False,14,3,4,80,0,0,6,3,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,34,True,2.0,699,6,1,1,31,2,1,83,3,1,1,Single,2960,17102,2,True,False,11,3,3,80,0,8,2,3,4,2,1,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,53,False,2.0,1282,5,3,1,32,3,0,58,3,5,3,Divorced,19094,10735,4,True,False,11,3,4,80,1,26,3,2,14,13,4,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,32,True,1.0,1125,16,1,1,33,2,0,72,1,1,1,Single,3919,4681,1,True,True,22,4,2,80,0,10,5,3,10,2,6,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,42,False,2.0,691,8,4,1,35,3,1,48,3,2,2,Married,6825,21173,0,True,False,11,3,4,80,1,10,2,3,9,7,4,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,44,False,2.0,477,7,4,1,36,1,0,42,2,3,4,Married,10248,2094,3,True,False,14,3,4,80,1,24,4,3,22,6,5,17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,46,False,2.0,705,2,4,1,38,2,0,83,3,5,1,Single,18947,22822,3,True,False,12,3,4,80,0,22,2,2,2,2,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,33,False,2.0,924,2,3,1,39,3,1,78,3,1,4,Single,2496,6670,4,True,False,11,3,4,80,0,7,3,3,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,44,False,2.0,1459,10,4,1,40,4,1,41,3,2,4,Married,6465,19121,2,True,True,13,3,4,80,0,9,5,4,4,2,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,30,False,2.0,125,9,2,1,41,4,1,83,2,1,3,Single,2206,16117,1,True,False,13,3,1,80,0,10,5,3,10,0,1,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,39,True,2.0,895,5,3,1,42,4,1,56,3,2,4,Married,2086,3335,3,True,False,14,3,3,80,1,19,6,4,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,24,True,2.0,813,1,3,1,45,2,1,61,3,1,4,Married,2293,3020,2,True,True,16,3,1,80,1,6,2,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,43,False,2.0,1273,2,2,1,46,4,0,72,4,1,3,Divorced,2645,21923,1,True,False,12,3,4,80,2,6,3,2,5,3,1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,50,True,2.0,869,3,2,1,47,1,1,86,2,1,3,Married,2683,3810,1,True,True,14,3,3,80,0,3,2,3,3,2,0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,35,False,2.0,890,2,3,1,49,4,0,97,3,1,4,Married,2014,9687,1,True,False,13,3,1,80,0,2,3,3,2,2,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,36,False,2.0,852,5,4,1,51,2,0,82,2,1,1,Married,3419,13072,9,True,True,14,3,4,80,1,6,3,4,1,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,33,False,1.0,1141,1,3,1,52,3,0,42,4,2,1,Married,5376,3193,2,True,False,19,3,1,80,2,10,3,3,5,3,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,35,False,2.0,464,4,2,1,53,3,1,75,3,1,4,Divorced,1951,10910,1,True,False,12,3,3,80,1,1,3,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,27,False,2.0,1240,2,4,1,54,4,0,33,3,1,1,Divorced,2341,19715,1,True,False,13,3,4,80,1,1,6,3,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,26,True,2.0,1357,25,3,1,55,1,1,48,1,1,3,Single,2293,10558,1,True,False,12,3,3,80,0,1,2,2,1,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,27,False,1.0,994,8,3,1,56,4,1,37,3,3,3,Single,8726,2975,1,True,False,15,3,4,80,0,9,0,3,9,8,1,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,30,False,1.0,721,1,2,1,57,3,0,58,3,2,4,Single,4011,10781,1,True,False,23,4,4,80,0,12,2,3,12,8,3,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,41,True,2.0,1360,12,3,1,58,2,0,49,3,5,3,Married,19545,16280,1,True,False,12,3,4,80,0,23,0,3,22,15,15,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,34,False,0.0,1065,23,4,1,60,2,1,72,3,2,3,Single,4568,10034,0,True,False,20,4,3,80,0,10,2,3,9,5,8,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,37,False,2.0,408,19,2,1,61,2,1,73,3,1,2,Married,3022,10227,4,True,False,21,4,1,80,0,8,1,3,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,46,False,1.0,1211,5,4,1,62,1,1,98,3,2,4,Single,5772,20445,4,True,True,21,4,3,80,0,14,4,3,9,6,0,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,35,False,2.0,1229,8,1,1,63,4,1,36,4,1,4,Married,2269,4892,1,True,False,19,3,4,80,0,1,2,3,1,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,48,True,2.0,626,1,2,1,64,1,1,98,2,3,3,Single,5381,19294,9,True,True,13,3,4,80,0,23,2,3,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,28,True,2.0,1434,5,4,1,65,3,1,50,3,1,3,Single,3441,11179,1,True,True,13,3,3,80,0,2,3,2,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,44,False,2.0,1488,1,5,1,68,2,0,75,3,2,1,Divorced,5454,4009,5,True,True,21,4,3,80,1,9,2,2,4,3,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,35,False,0.0,1097,11,2,1,70,3,1,79,2,3,1,Married,9884,8302,2,True,True,13,3,3,80,1,10,3,3,4,0,2,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,26,False,2.0,1443,23,3,1,72,3,0,47,2,2,4,Married,4157,21436,7,True,True,19,3,3,80,1,5,2,2,2,2,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,33,False,1.0,515,1,2,1,73,1,0,98,3,3,4,Single,13458,15146,1,True,True,12,3,3,80,0,15,1,3,15,14,8,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,35,False,1.0,853,18,5,1,74,2,1,71,3,3,1,Married,9069,11031,1,True,False,22,4,4,80,1,9,3,2,9,8,1,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,35,False,2.0,1142,23,4,1,75,3,0,30,3,1,1,Married,4014,16002,3,True,True,15,3,3,80,1,4,3,3,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,31,False,2.0,655,7,4,1,76,4,1,48,3,2,4,Divorced,5915,9528,3,True,False,22,4,4,80,1,10,3,2,7,7,1,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,37,False,2.0,1115,1,4,1,77,1,1,51,2,2,3,Divorced,5993,2689,1,True,False,18,3,3,80,1,7,2,4,7,5,0,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,32,False,2.0,427,1,3,1,78,1,1,33,3,2,4,Married,6162,10877,1,True,True,22,4,2,80,1,9,3,3,9,8,7,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,38,False,1.0,653,29,5,1,79,4,0,50,3,2,4,Single,2406,5456,1,True,False,11,3,4,80,0,10,2,3,10,3,9,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,50,False,2.0,989,7,2,1,80,2,0,43,2,5,3,Divorced,18740,16701,5,True,True,12,3,4,80,1,29,2,2,27,3,13,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,59,False,2.0,1435,25,3,1,81,1,0,99,3,3,1,Single,7637,2354,7,True,False,11,3,4,80,0,28,3,2,21,16,7,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,36,False,2.0,1223,8,3,1,83,3,0,59,3,3,3,Divorced,10096,8202,1,True,False,13,3,2,80,3,17,2,3,17,14,12,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,55,False,2.0,836,8,3,1,84,4,0,33,3,4,3,Divorced,14756,19730,2,True,True,14,3,3,80,3,21,2,3,5,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,36,False,1.0,1195,11,3,1,85,2,1,95,2,2,2,Single,6499,22656,1,True,False,13,3,3,80,0,6,3,3,6,5,0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,45,False,2.0,1339,7,3,1,86,2,1,59,3,3,1,Divorced,9724,18787,2,True,False,17,3,3,80,1,25,2,3,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,35,False,1.0,664,1,3,1,88,2,1,79,3,1,1,Married,2194,5868,4,True,False,13,3,4,80,1,5,2,2,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,36,True,2.0,318,9,3,1,90,4,1,79,2,1,3,Married,3388,21777,0,True,True,17,3,1,80,1,2,0,2,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,59,False,1.0,1225,1,1,1,91,1,0,57,2,2,3,Single,5473,24668,7,True,False,11,3,4,80,0,20,2,2,4,3,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,29,False,2.0,1328,2,3,1,94,3,1,76,3,1,2,Married,2703,4956,0,True,False,23,4,4,80,1,6,3,3,5,4,0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,31,False,2.0,1082,1,4,1,95,3,1,87,3,1,2,Single,2501,18775,1,True,False,17,3,2,80,0,1,4,3,1,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,32,False,2.0,548,1,3,1,96,2,1,66,3,2,2,Married,6220,7346,1,True,False,17,3,2,80,2,10,3,3,10,4,0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,36,False,2.0,132,6,3,1,97,2,0,55,4,1,4,Married,3038,22002,3,True,False,12,3,2,80,0,5,3,3,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,31,False,2.0,746,8,4,1,98,3,0,61,3,2,4,Single,4424,20682,1,True,False,23,4,4,80,0,11,2,3,11,7,1,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,35,False,2.0,776,1,4,1,100,3,1,32,2,2,1,Single,4312,23016,0,True,False,14,3,2,80,0,16,2,3,15,13,2,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,45,False,2.0,193,6,4,1,101,4,1,52,3,3,1,Married,13245,15067,4,True,True,14,3,2,80,0,17,3,4,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78,37,False,2.0,397,7,4,1,102,1,1,30,3,3,3,Single,13664,25258,4,True,False,13,3,1,80,0,16,3,4,5,2,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,46,False,2.0,945,5,2,1,103,2,1,80,3,2,2,Divorced,5021,10425,8,True,True,22,4,4,80,1,16,2,3,4,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,30,False,2.0,852,1,1,1,104,4,1,55,2,2,4,Married,5126,15998,1,True,True,12,3,3,80,2,10,1,2,10,8,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,35,False,2.0,1214,1,3,1,105,2,1,30,2,1,3,Single,2859,26278,1,True,False,18,3,1,80,0,6,3,3,6,4,0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,55,False,2.0,111,1,2,1,106,1,1,70,3,3,4,Married,10239,18092,3,True,False,14,3,4,80,1,24,4,3,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,38,False,0.0,573,6,3,1,107,2,0,79,1,2,4,Divorced,5329,15717,7,True,True,12,3,4,80,3,17,3,3,13,11,1,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,34,False,2.0,1153,1,2,1,110,1,1,94,3,2,2,Married,4325,17736,1,True,False,15,3,3,80,0,5,2,3,5,2,1,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,56,False,2.0,1400,7,3,1,112,4,1,49,1,3,4,Single,7260,21698,4,True,False,11,3,1,80,0,37,3,2,6,4,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,23,False,2.0,541,2,1,1,113,3,1,62,3,1,1,Divorced,2322,9518,3,True,False,13,3,3,80,1,3,3,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,51,False,2.0,432,9,4,1,116,4,1,96,3,1,4,Married,2075,18725,3,True,False,23,4,2,80,2,10,4,3,4,2,0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,30,False,2.0,288,2,3,1,117,3,1,99,2,2,4,Married,4152,15830,1,True,False,19,3,1,80,3,11,3,3,11,10,10,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,46,True,2.0,669,9,2,1,118,3,1,64,2,3,4,Single,9619,13596,1,True,False,16,3,4,80,0,9,3,3,9,8,4,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
